['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 3110, 0.92753583, 425, 0, 447, 17]
['Truck', 2957, 0.91116554, 394, 0, 414, 15]
['Car', 3350, 0.9237422, 346, 27, 400, 99]
['Truck', 3007, 0.9196039, 400, 19, 425, 43]
['Car', 2852, 0.9288151, 352, 17, 389, 51]
['Car', 3254, 0.9246377, 359, 1, 388, 27]
['Van', 3524, 0.9319639, 360, 58, 392, 88]
['Car', 3190, 0.92237735, 566, 197, 631, 260]
['Car', 3064, 0.9238205, 400, 29, 423, 50]
['Car', 3285, 0.9302009, 356, 0, 392, 44]
['Car', 3223, 0.91404724, 392, 0, 423, 22]
['Car', 2807, 0.920261, 389, 0, 409, 13]
['Car', 3572, 0.9255741, 346, 124, 393, 174]
['Car', 3171, 0.92648876, 402, 24, 427, 47]
['Truck', 3477, 0.92515, 426, 35, 454, 62]
['Car', 3579, 0.91789293, 340, 140, 390, 192]
['Car', 3200, 0.93415594, 505, 111, 553, 154]
['Car', 2974, 0.92384034, 395, 2, 417, 24]
['Motorbike', 2881, 0.84921813, 35, 502, 125, 637]
['Car', 3311, 0.9236895, 352, 2, 395, 61]
['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 4275, 0.9235463, 405, 201, 464, 269]
['Van', 3703, 0.93762463, 429, 1, 450, 17]
['Car', 4468, 0.9306949, 424, 0, 450, 23]
['Car', 4047, 0.93086475, 106, 161, 383, 479]
['Truck', 4461, 0.86024135, 423, 0, 448, 21]
['Truck', 4181, 0.902664, 362, 34, 389, 57]
['Car', 3678, 0.93151194, 397, 1, 419, 22]
['Bus', 4448, 0.90190464, 423, 0, 446, 17]
['Car', 4350, 0.92149353, 442, 17, 464, 38]
['Car', 3977, 0.92539483, 426, 0, 448, 16]
['Car', 3921, 0.92853725, 364, 5, 385, 23]
['Car', 4297, 0.9288785, 428, 1, 459, 24]
['Bus', 4085, 0.89237976, 401, 12, 424, 33]
['Car', 3961, 0.9265196, 392, 16, 418, 37]
['Car', 4373, 0.92233104, 396, 0, 416, 16]
['Car', 4240, 0.93562293, 393, 0, 431, 45]
['Car', 3755, 0.9223487, 405, 20, 426, 44]
['Car', 4315, 0.9293235, 440, 7, 465, 28]
['Car', 4260, 0.92668474, 396, 3, 437, 57]
['Car', 4174, 0.9256817, 421, 0, 444, 11]
['Car', 4329, 0.9262277, 446, 18, 473, 43]
['Car', 4249, 0.93954265, 407, 212, 466, 278]
['Car', 3641, 0.9322712, 407, 62, 442, 95]
['Car', 4215, 0.9195104, 391, 0, 425, 31]
['Car', 3929, 0.9383096, 361, 10, 385, 28]
['Car', 3930, 0.93147856, 342, 27, 393, 100]
['Van', 3896, 0.9213336, 275, 216, 357, 299]
['Car', 4272, 0.9222575, 396, 8, 441, 69]
['Car', 4124, 0.92844105, 427, 0, 448, 12]
['Car', 4279, 0.9357922, 432, 4, 457, 25]
